Time,Temp1F,Temp2F,RH,Pres,AccX,AccZ
499,33.50,32.62,35.84,12.26,-0.512,0.006
1003,40.53,33.50,38.68,12.04,-0.497,-0.053
1507,37.01,24.70,37.73,12.20,-0.675,-0.024
2011,33.50,33.50,38.99,12.11,-0.527,0.065
2514,33.50,35.26,35.84,12.26,-0.631,-0.024
3018,32.62,33.50,34.58,12.26,-0.705,-0.157
3522,22.06,45.81,34.89,12.18,-0.423,-0.127
4025,38.77,30.86,37.10,12.46,-0.512,-0.172
4529,36.13,33.50,35.21,12.35,-0.468,-0.231
5032,37.01,33.50,36.16,12.31,-0.601,-0.261
5536,37.89,33.50,36.31,12.29,-0.542,0.080
6040,39.65,34.38,35.05,12.27,-0.601,-0.127
6544,37.89,33.50,36.00,12.27,-0.660,0.065
7048,36.13,33.50,36.31,12.29,-0.675,0.036
7552,37.01,33.50,36.00,12.27,-0.557,0.125
8055,37.01,32.62,36.00,12.27,-0.601,0.036
8559,37.01,32.62,36.00,12.27,-0.557,0.110
9062,37.01,32.62,35.21,12.29,-1.105,0.095
9566,37.01,33.50,35.68,12.27,-1.075,0.095
10070,37.01,33.50,36.00,12.27,-1.031,-0.068
10573,37.01,32.62,36.16,12.29,-1.120,0.021
11077,38.77,32.62,35.84,12.27,-0.957,0.021
11581,37.89,32.62,36.31,12.29,-0.720,0.036
12085,34.38,31.74,35.05,12.22,-0.675,-0.038
12589,36.13,32.62,35.84,12.26,-0.601,-0.038
13092,37.89,32.62,36.00,12.27,-0.586,0.065
13596,37.01,32.62,35.68,12.27,-0.557,0.139
14100,36.13,32.62,36.47,12.26,-0.586,0.095
14604,36.13,32.62,35.84,12.27,-0.557,0.065
15108,36.13,33.50,35.68,12.27,-0.409,0.080
15611,37.01,33.50,36.16,12.27,-0.379,0.036
16115,37.01,33.50,35.52,12.29,-0.616,0.065
16618,37.89,32.62,35.84,12.27,-0.779,0.110
17122,37.89,33.50,35.84,12.29,-0.764,0.110
17626,36.13,33.50,35.52,12.29,-0.749,0.243
18129,37.01,32.62,36.00,12.27,-0.779,0.125
18633,37.01,32.62,36.00,12.27,-0.749,0.154
19137,37.89,33.50,35.84,12.27,-0.720,0.228
19641,37.89,33.50,36.00,12.27,-0.779,0.184
20145,37.89,33.50,36.47,12.27,-0.927,0.228
20648,40.53,33.50,37.57,12.33,-0.942,0.095
21152,33.50,32.62,37.73,12.20,-0.572,-0.024
21656,53.73,42.29,36.94,12.22,-0.660,-0.275
22160,41.41,31.74,35.21,12.22,-0.512,0.080
22664,37.89,33.50,36.00,12.22,-0.675,-0.216
23168,37.89,33.50,35.84,12.27,-0.586,0.021
23671,31.74,32.62,35.52,12.09,-0.616,-0.024
24175,37.89,33.50,35.52,12.27,-0.601,-0.098
24679,37.89,33.50,35.84,12.27,-0.527,-0.127
25183,37.89,33.50,36.00,12.27,-0.557,-0.112
25687,37.89,33.50,35.84,12.27,-0.631,-0.053
26189,37.89,33.50,36.31,12.27,-0.646,0.006
26693,37.89,33.50,35.84,12.27,-0.660,-0.009
27197,37.89,33.50,36.31,12.29,-0.631,-0.068
27701,38.77,33.50,36.00,12.27,-0.675,-0.053
28205,37.89,33.50,35.84,12.27,-0.675,-0.009
28708,37.01,33.50,35.84,12.27,-0.646,0.036
29212,37.01,33.50,36.00,12.27,-0.631,0.021
29716,37.89,33.50,38.21,12.27,-0.616,-0.024
30220,37.01,33.50,36.00,12.27,-0.660,0.006
30724,38.77,33.50,35.68,12.27,-1.105,0.095
31227,37.89,33.50,36.00,12.27,-1.105,-0.024
31731,36.13,33.50,36.31,12.27,-1.016,0.006
32235,38.77,33.50,36.31,12.27,-1.090,0.036
32739,38.77,33.50,36.00,12.27,-0.942,0.184
33243,37.89,33.50,35.84,12.27,-0.720,0.184
33746,37.89,33.50,35.84,12.27,-0.646,0.080
34249,36.13,33.50,36.47,12.27,-0.720,0.154
34753,37.01,33.50,35.84,12.27,-0.690,0.095
35257,32.62,34.38,36.16,12.20,-0.734,0.154
35761,36.13,33.50,36.16,12.29,-0.749,0.139
36264,36.13,33.50,34.11,12.20,-0.720,0.184
36768,42.29,35.26,38.36,12.16,-0.690,-0.216
37272,40.53,38.77,39.94,12.18,-0.705,-0.216
37776,38.77,33.50,35.05,12.18,-0.690,0.021
38280,37.01,33.50,36.16,12.20,-0.586,0.021
38784,38.77,33.50,36.47,12.27,-0.749,0.213
39287,37.89,33.50,36.16,12.29,-0.764,0.065
39791,37.01,33.50,35.84,12.27,-0.809,0.125
40295,37.01,33.50,35.21,12.29,-0.720,0.095
40799,38.77,33.50,36.00,12.27,-0.764,0.095
41303,25.58,35.26,35.68,12.24,-0.868,-0.038
41806,37.01,33.50,35.37,12.29,-0.883,0.139
42309,37.89,33.50,35.68,12.27,-0.809,0.110
