Time(ms),C1_Sign, C1_CPM, C1_uSv, C2_Sign, C2_CPM, C2_uSv, MuonCount, MuonCPM
15001,1,4,0.08,2,8,0.15,0,0
30002,4,16,0.30,0,0,0.00,0,0
45003,1,4,0.08,0,0,0.00,0,0
60004,1,4,0.08,0,0,0.0,0,0
75005,0,0,0.00,0,0,0.00,0,0
90006,3,12,0.23,0,0,0.0,0,0
105007,0,0,0.00,0,0,0.00,0,0
120008,1,4,0.08,2,8,0.15,0,0
135009,0,0,0.00,1,4,0.08,0,0
150010,0,0,0.00,0,0,0.00,0,0
165011,1,4,0.08,0,0,0.00,0,0
180012,2,8,0.15,1,4,0.08,0,0
195013,0,0,0.00,0,0,0.00,0,0
210014,1,4,0.08,1,4,0.08,0,0
225015,4,16,0.30,3,12,0.23,0,0
240016,1,4,0.08,0,0,0.00,0,0
255017,1,4,0.08,5,20,0.38,0,0
270018,0,0,0.00,0,0,0.00,0,0
285019,1,4,0.08,1,4,0.08,0,0
300020,0,0,0.00,1,4,0.08,0,0
315021,0,0,0.0,1,4,0.08,0,0
330022,0,0,0.00,3,12,0.23,0,0
345023,2,8,0.15,2,8,0.15,0,0
360024,0,0,0.00,1,4,0.08,0,0
375025,1,4,0.08,0,0,0.00,0,0
390026,0,0,0.00,0,0,0.00,0,0
405027,1,4,0.08,1,4,0.08,0,0
420028,0,0,0.00,0,0,0.00,0,0
435030,0,0,0.00,0,0,0.00,0,0
450031,1,4,0.08,0,0,0.00,0,0
465032,0,0,0.00,1,4,0.08,0,0
480033,0,0,0.0,0,0,0.0,0,0
495034,1,4,0.08,1,4,0.08,0,0
510035,2,8,0.15,0,0,0.00,0,0
525036,0,0,0.00,0,0,0.00,0,0
540037,3,12,0.23,1,4,0.08,1,4
555038,1,4,0.08,0,0,0.00,0,0
570039,1,4,0.08,2,8,0.15,0,0
585040,0,0,0.00,1,4,0.08,0,0
600041,0,0,0.00,1,4,0.08,0,0
615042,4,16,0.30,3,12,0.23,2,8
630043,0,0,0.00,0,0,0.00,0,0
645044,1,4,0.08,2,8,0.15,0,0
660045,1,4,0.08,0,0,0.00,0,0
675046,2,8,0.15,1,4,0.08,1,4
690048,1,4,0.08,1,4,0.08,0,0
705049,0,0,0.00,0,0,0.00,0,0
720050,3,12,0.23,3,12,0.23,1,4
735051,1,4,0.08,2,8,0.15,1,4
750052,1,4,0.08,1,4,0.08,0,0
765053,0,0,0.00,0,0,0.00,0,0
780054,2,8,0.15,0,0,0.00,0,0
795055,1,4,0.08,0,0,0.00,0,0
810056,1,4,0.08,3,12,0.23,0,0
825057,0,0,0.00,0,0,0.00,0,0
840058,2,8,0.15,2,8,0.15,0,0
855059,1,4,0.08,2,8,0.15,1,4
870060,3,12,0.23,2,8,0.15,0,0
885061,2,8,0.15,1,4,0.08,0,0
900062,2,8,0.15,4,16,0.30,1,4
915063,2,8,0.15,2,8,0.15,0,0
930064,0,0,0.00,1,4,0.08,0,0
945065,0,0,0.0,0,0,0.00,0,0
960066,1,4,0.08,0,0,0.00,0,0
975067,4,16,0.30,3,12,0.23,2,8
990068,0,0,0.00,1,4,0.08,0,0
1005069,4,16,0.30,2,8,0.15,0,0
1020070,5,20,0.38,5,20,0.38,2,8
1035071,1,4,0.08,1,4,0.08,0,0
1050072,5,20,0.38,2,8,0.15,0,0
1065073,4,16,0.30,3,12,0.23,0,0
1080074,0,0,0.00,2,8,0.15,0,0
1095075,2,8,0.15,1,4,0.08,1,4
